FIRST_NAME,LAST_NAME,PARTY,STATE,ADDRESS,PHONE
Lamar,Alexander,R,TN,455 Dirksen Senate Office Building,202-224-4944
Kelly,Ayotte,R,NH,144 Russell Senate Office Building,202-224-3324
Tammy,Baldwin,D,WI,717 Hart Senate Office Building,202-224-5653
John,Barrasso,R,WY,307 Dirksen Senate Office Building,202-224-6441
Max,Baucus,D,MT,511 Hart Senate Office Building,202-224-2651
Mark,Begich,D,AK,111 Russell Senate Office Building,202-224-3004
Michael,Bennet,D,CO,458 Russell Senate Office Building,202-224-5852
Richard,Blumenthal,D,CT,724 Hart Senate Office Building,202-224-2823
Roy,Blunt,R,MO,260 Russell Senate Office Building,202-224-5721
John,Boozman,R,AR,320 Hart Senate Office Building,202-224-4843
Barbara,Boxer,D,CA,112 Hart Senate Office Building,202-224-3553
Sherrod,Brown,D,OH,713 Hart Senate Office Building,202-224-2315
Richard,Burr,R,NC,217 Russell Senate Office Building,202-224-3154
Maria,Cantwell,D,WA,311 Hart Senate Office Building,202-224-3441
Ben,Cardin,D,MD,509 Hart Senate Office Building,202-224-4524
Tom,Carper,D,DE,513 Hart Senate Office Building,202-224-2441
Bob,Casey,D,PA,393 Russell Senate Office Building,202-224-6324
Saxby,Chambliss,R,GA,416 Russell Senate Office Building,202-224-3521
Jeff,Chiesa,R,NJ,1 Russell Courtyard,202-224-3224
Dan,Coats,R,IN,493 Russell Senate Office Building,202-224-5623
Tom,Coburn,R,OK,172 Russell Senate Office Building,202-224-5754
Thad,Cochran,R,MS,113 Dirksen Senate Office Building,202-224-5054
Susan,Collins,R,ME,413 Dirksen Senate Office Building,202-224-2523
Chris,Coons,D,DE,127A Russell Senate Office Building,202-224-5042
Bob,Corker,R,TN,425 Dirksen Senate Office Building,202-224-3344
John,Cornyn,R,TX,517 Hart Senate Office Building,202-224-2934
Michael,Crapo,R,ID,239 Dirksen Senate Office Building,202-224-6142
Ted,Cruz,R,TX,185 Dirksen Senate Office Building,202-224-5922
Joe,Donnelly,D,IN,720 Hart Senate Office Building,202-224-4814
Richard,Durbin,D,IL,711 Hart Senate Office Building,202-224-2152
Michael,Enzi,R,WY,379A Russell Senate Office Building,202-224-3424
Dianne,Feinstein,D,CA,331 Hart Senate Office Building,202-224-3841
Deb,Fischer,R,NE,383 Russell Senate Office Building,202-224-6551
Jeff,Flake,R,AZ,368 Russell Senate Office Building,202-224-4521
Al,Franken,D,MN,309 Hart Senate Office Building,202-224-5641
Kirsten,Gillibrand,D,NY,478 Russell Senate Office Building,202-224-4451
Lindsey,Graham,R,SC,290 Russell Senate Office Building,202-224-5972
Chuck,Grassley,R,IA,135 Hart Senate Office Building,202-224-3744
Kay,Hagan,D,NC,521 Dirksen Senate Office Building,202-224-6342
Tom,Harkin,D,IA,731 Hart Senate Office Building,202-224-3254
Orrin,Hatch,R,UT,104 Hart Senate Office Building,202-224-5251
Martin,Heinrich,D,NM,702 Hart Senate Office Building,202-224-5521
Heidi,Heitkamp,D,ND,502 Hart Senate Office Building,202-224-2043
Dean,Heller,R,NV,324 Hart Senate Office Building,202-224-6244
Mazie,Hirono,D,HI,330 Hart Senate Office Building,202-224-6361
John,Hoeven,R,ND,338 Russell Senate Office Building,202-224-2551
James,Inhofe,R,OK,205 Russell Senate Office Building,202-224-4721
Johnny,Isakson,R,GA,131 Russell Senate Office Building,202-224-3643
Mike,Johanns,R,NE,404 Russell Senate Office Building,202-224-4224
Ron,Johnson,R,WI,328 Hart Senate Office Building,202-224-5323
Tim,Johnson,D,SD,136 Hart Senate Office Building,202-224-5842
Tim,Kaine,D,VA,388 Russell Senate Office Building,202-224-4024
Angus,King,I,ME,359 Dirksen Senate Office Building,202-224-5344
Mark Steven,Kirk,R,IL,524 Hart Senate Office Building,202-224-2854
Amy,Klobuchar,D,MN,302 Hart Senate Office Building,202-224-3244
